张红	12301	A01	10000	12301	1
张二	12302	A02	6000	12301	1
张三	12303	A03	6000	12301	1
张四	12304	A04	6000	12301	1
张五	12305	A05	6000	12301	1
张六	12306	A06	6000	12301	1
张七	12307	A07	6000	12301	1
张八	12308	A08	6000	12301	1
张九	12309	A09	2500	12301	1
张十	12310	A10	2600	12301	1
宋一	12311	B01	3000	12311	2
宋二	12312	B02	2500	12311	2
宋三	12313	B03	2100	12311	2
宋四	12314	B04	1700	12311	2
宋五	12315	B05	1700	12311	2
宋六	12316	B06	1700	12311	2
宋七	12317	B07	1500	12311	2
宋八	12318	B08	1500	12311	2
宋九	12319	B09	900	12311	2
宋十	12320	B10	900	12311	2
李一	12321	C01	10000	12321	3
李二	12322	C02	6000	12321	3
李三	12323	C03	6000	12321	3
李四	12324	C04	6000	12321	3
李五	12325	C05	6000	12321	3
李六	12326	C06	6000	12321	3
李七	12327	C07	6000	12321	3
李八	12328	C08	6000	12321	3
李九	12329	C09	6000	12321	3
李十	12330	C10	6000	12321	3
周一	12331	D01	10000	12331	4
周二	12332	D02	6000	12331	4
周三	12333	D03	6000	12331	4
周四	12334	D04	6000	12331	4
周五	12335	D05	6000	12331	4
周六	12336	D06	6000	12331	4
周七	12337	D07	6000	12331	4
周八	12338	D08	6000	12331	4
周九	12339	D09	6000	12331	4
周十	12340	D10	6000	12331	4
王一	12341	E01	10000	12341	5
王二	12342	E02	6000	12341	5
王三	12343	E03	6000	12341	5
王四	12344	E04	6000	12341	5
王五	12345	E05	6000	12341	5
王六	12346	E06	6000	12341	5
王七	12347	E07	6000	12341	5
王八	12348	E08	6000	12341	5
王九	12349	E09	6000	12341	5
王十	12350	E10	6000	12341	5
